Name,Source,Page,Level,Casting Time,Duration,School,Range,Components,Classes,Optional/Variant Classes,Subclasses,Text,At Higher Levels
Animate Dead,PHB'24,240,3rd,1 Min.,Instantaneous,Necromancy,10 feet,"V, S, M (a drop of blood, a piece of flesh, and a pinch of bone dust)","Cleric (PHB'24), Wizard (PHB'24)",,"Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Spores (TCE) Druid, Spores (TCE) Druid, Lore (PHB'24) Bard, Death (DMG'14) Cleric, Death (DMG'14) Cleric, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Oathbreaker (DMG'14) Paladin, Oathbreaker (DMG'14) Paladin","Choose a pile of bones or a corpse of a Medium or Small Humanoid within range. The target becomes an Undead creature: a Skeleton if you chose bones or a Zombie if you chose a corpse.On each of your turns, you can take a Bonus Action to mentally command any creature you made with this spell if the creature is within 60 feet of you (if you control multiple creatures, you can command any of them at the same time, issuing the same command to each one). You decide what action the creature will take and where it will move on its next turn, or you can issue a general command, such as to guard a chamber or corridor. If you issue no commands, the creature takes the Dodge action and moves only to avoid harm. Once given an order, the creature continues to follow it until its task is complete.The creature is under your control for 24 hours, after which it stops obeying any command you've given it. To maintain control of the creature for another 24 hours, you must cast this spell on the creature again before the current 24-hour period ends. This use of the spell reasserts your control over up to four creatures you have animated with this spell rather than animating a new creature.",Using a Higher-Level Spell Slot. You animate or reassert control over two additional Undead creatures for each spell slot level above 3. Each of the creatures must come from a different corpse or pile of bones.
Antagonize,BMT,50,3rd,Action,Instantaneous,Enchantment,30 feet,"V, S, M (a playing card depicting a rogue)",,"Bard (PHB'14), Bard (PHB'24), Sorcerer (PHB'14), Sorcerer (PHB'24), Warlock (PHB'14), Warlock (PHB'24), Wizard (PHB'14), Wizard (PHB'24)","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter","You whisper magical words that antagonize one creature of your choice within range. The target must make a Wisdom saving throw. On a failed save, the target takes 4d4 psychic damage and must immediately use its reaction to make a melee attack against another creature of your choice that you can see. If the target can't make this attack (for example, because there is no one within its reach or because its reaction is unavailable), the target instead has disadvantage on the next attack roll it makes before the start of your next turn. On a successful save, the target takes half as much damage only.","At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the damage increases by 1d4 for each slot level above 3rd."
Ashardalon's Stride,FTD,19,3rd,Bonus,"Concentration, up to 1 minute",Transmutation,Self,"V, S",,"Artificer (TCE), Ranger (PHB'14), Ranger (PHB'24), Sorcerer (PHB'14), Sorcerer (PHB'24), Wizard (PHB'14), Wizard (PHB'24)","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter","The billowing flames of a dragon blast from your feet, granting you explosive speed. For the duration, your speed increases by 20 feet and moving doesn't provoke opportunity attacks.When you move within 5 feet of a creature or an object that isn't being worn or carried, it takes 1d6 fire damage from your trail of heat. A creature or object can take this damage only once during a turn.","At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, increase your speed by 5 feet for each spell slot level above 3rd. The spell deals an additional 1d6 fire damage for each slot level above 3rd."
Aura of Vitality,PHB'24,244,3rd,Action,"Concentration, up to 1 minute",Abjuration,Self,V,"Cleric (PHB'24), Druid (PHB'24), Paladin (PHB'24)",,"Battle Smith (TCE) Artificer, Lore (PHB'24) Bard, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Crown (SCAG) Paladin, Crown (SCAG) Paladin, Twilight (TCE) Cleric, Twilight (TCE) Cleric","An aura radiates from you in a 30-foot Emanation for the duration. When you create the aura and at the start of each of your turns while it persists, you can restore 2d6 Hit Points to one creature in it.",
Beacon of Hope,PHB'24,245,3rd,Action,"Concentration, up to 1 minute",Abjuration,30 feet,"V, S",Cleric (PHB'24),,"Lore (PHB'24) Bard, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Life (PHB'14) Cleric, Devotion (PHB'24) Paladin, Devotion (PHB'14) Paladin, Peace (TCE) Cleric, Peace (TCE) Cleric, Solidarity (PSA) (PSA) Cleric, Solidarity (PSA) (PSA) Cleric","Choose any number of creatures within range. For the duration, each target has Advantage on Wisdom saving throws and Death Saving Throws and regains the maximum number of Hit Points possible from any healing.",
Bestow Curse,PHB'24,246,3rd,Action,"Concentration, up to 1 minute",Necromancy,Touch,"V, S","Bard (PHB'24), Cleric (PHB'24), Wizard (PHB'24)",,"Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Conquest (XGE) Paladin, Conquest (XGE) Paladin, Oathbreaker (DMG'14) Paladin, Oathbreaker (DMG'14) Paladin, Ambition (PSA) (PSA) Cleric, Ambition (PSA) (PSA) Cleric","You touch a creature, which must succeed on a Wisdom saving throw or become cursed for the duration. Until the curse ends, the target suffers one of the following effects of your choice:Choose one ability. The target has Disadvantage on ability checks and saving throws made with that ability.The target has Disadvantage on attack rolls against you.In combat, the target must succeed on a Wisdom saving throw at the start of each of its turns or be forced to take the Dodge action on that turn.If you deal damage to the target with an attack roll or a spell, the target takes an extra 1d8 Necrotic damage.","Using a Higher-Level Spell Slot. If you cast this spell using a level 4 spell slot, you can maintain Concentration on it for up to 10 minutes. If you use a level 5+ spell slot, the spell doesn't require Concentration, and the duration becomes 8 hours (level 5-6 slot) or 24 hours (level 7-8 slot). If you use a level 9 spell slot, the spell lasts until dispelled."
Blinding Smite,PHB'24,247,3rd,Bonus,1 minute,Evocation,Self,V,Paladin (PHB'24),,,"The target hit by the strike takes an extra 3d8 Radiant damage from the attack, and the target has the Blinded condition until the spell ends. At the end of each of its turns, the Blinded target makes a Constitution saving throw, ending the spell on itself on a success.",Using a Higher-Level Spell Slot. The extra damage increases by 1d8 for each spell slot level above 3.
Blink,PHB'24,248,3rd,Action,1 minute,Transmutation,Self,"V, S","Artificer (TCE), Sorcerer (PHB'24), Wizard (PHB'24)",,"Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Archfey (PHB'24) Warlock, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Archfey (PHB'14) Warlock, Hexblade (XGE) Warlock, Hexblade (XGE) Warlock, Trickery (PHB'14) Cleric","Roll 1d6 at the end of each of your turns for the duration. On a roll of 4-6, you vanish from your current plane of existence and appear in the Ethereal Plane (the spell ends instantly if you are already on that plane). While on the Ethereal Plane, you can perceive the plane you left, which is cast in shades of gray, but you can't see anything there more than 60 feet away. You can affect and be affected only by other creatures on the Ethereal Plane, and creatures on the other plane can't perceive you unless they have a special ability that lets them perceive things on the Ethereal Plane.You return to the other plane at the start of your next turn and when the spell ends if you are on the Ethereal Plane. You return to an unoccupied space of your choice that you can see within 10 feet of the space you left. If no unoccupied space is available within that range, you appear in the nearest unoccupied space.",
Call Lightning,PHB'24,248,3rd,Action,"Concentration, up to 10 minutes",Conjuration,120 feet,"V, S",Druid (PHB'24),,"Land (Forest) (PHB'14) Druid, Lore (PHB'24) Bard, Open Sea (TDCSR) Paladin, Open Sea (TDCSR) Paladin, Tempest (PHB'14) Cleric, Tempest (PHB'14) Cleric","A storm cloud appears at a point within range that you can see above yourself. It takes the shape of a Cylinder that is 10 feet tall with a 60-foot radius.When you cast the spell, choose a point you can see under the cloud. A lightning bolt shoots from the cloud to that point. Each creature within 5 feet of that point makes a Dexterity saving throw, taking 3d10 Lightning damage on a failed save or half as much damage on a successful one.Until the spell ends, you can take a Magic action to call down lightning in that way again, targeting the same point or a different one.If you're outdoors in a storm when you cast this spell, the spell gives you control over that storm instead of creating a new one. Under such conditions, the spell's damage increases by 1d10.",Using a Higher-Level Spell Slot. The damage increases by 1d10 for each spell slot level above 3.
Clairvoyance,PHB'24,250,3rd,10 Min.,"Concentration, up to 10 minutes",Divination,1 mile,"V, S, M (a focus worth 100+ GP, either a jeweled horn for hearing or a glass eye for seeing)","Bard (PHB'24), Cleric (PHB'24), Sorcerer (PHB'24), Wizard (PHB'24)",,"Arcane Trickster (PHB'14) Rogue, Arcane Trickster (PHB'24) Rogue, Lore (PHB'24) Bard, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Diviner (PHB'24) Wizard, Eldritch Knight (PHB'14) Fighter, Eldritch Knight (PHB'24) Fighter, Great Old One (PHB'24) Warlock, Ancestral Guardian (XGE) Barbarian, Ancestral Guardian (XGE) Barbarian, Great Old One (PHB'14) Warlock","You create an Invisible sensor within range in a location familiar to you (a place you have visited or seen before) or in an obvious location that is unfamiliar to you (such as behind a door, around a corner, or in a grove of trees). The intangible, invulnerable sensor remains in place for the duration.When you cast the spell, choose seeing or hearing. You can use the chosen sense through the sensor as if you were in its space. As a Bonus Action, you can switch between seeing and hearing.A creature that sees the sensor (such as a creature benefiting from See Invisibility or Truesight) sees a luminous orb about the size of your fist.",
Conjure Animals,PHB'24,254,3rd,Action,"Concentration, up to 10 minutes",Conjuration,60 feet,"V, S","Druid (PHB'24), Ranger (PHB'24)",,"Moon (PHB'24) Druid, Lore (PHB'24) Bard","You conjure nature spirits that appear as a Large pack of spectral, intangible animals in an unoccupied space you can see within range. The pack lasts for the duration, and you choose the spirits' animal form, such as wolves, serpents, or birds.You have Advantage on Strength saving throws while you're within 5 feet of the pack, and when you move on your turn, you can also move the pack up to 30 feet to an unoccupied space you can see.Whenever the pack moves within 10 feet of a creature you can see and whenever a creature you can see enters a space within 10 feet of the pack or ends its turn there, you can force that creature to make a Dexterity saving throw. On a failed save, the creature takes 3d10 Slashing damage. A creature makes this save only once per turn.",Using a Higher-Level Spell Slot. The damage increases by 1d10 for each spell slot level above 3.
Conjure Barrage,PHB'24,254,3rd,Action,Instantaneous,Conjuration,Self,"V, S, M (a Melee or Ranged weapon worth at least 1 CP)",Ranger (PHB'24),,Battle Smith (TCE) Artificer,"You brandish the weapon used to cast the spell and conjure similar spectral weapons (or ammunition appropriate to the weapon) that launch forward and then disappear. Each creature of your choice that you can see in a 60-foot Cone makes a Dexterity saving throw, taking 5d8 Force damage on a failed save or half as much damage on a successful one.",Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 3.
Create Food and Water,PHB'24,258,3rd,Action,Instantaneous,Conjuration,30 feet,"V, S","Artificer (TCE), Cleric (PHB'24), Paladin (PHB'24)",,"Land (Desert) (PHB'14) Druid, Lore (PHB'24) Bard, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Genie (TCE) Warlock, Genie (TCE) Warlock","You create 45 pounds of food and 30 gallons of fresh water on the ground or in containers within range—both useful in fending off the hazards of malnutrition and dehydration. The food is bland but nourishing and looks like a food of your choice, and the water is clean. The food spoils after 24 hours if uneaten.",
Crusader's Mantle,PHB'24,259,3rd,Action,"Concentration, up to 1 minute",Evocation,Self,V,Paladin (PHB'24),,"War (PHB'14) Cleric, War (PHB'24) Cleric, Solidarity (PSA) (PSA) Cleric, Solidarity (PSA) (PSA) Cleric","You radiate a magical aura in a 30-foot Emanation. While in the aura, you and your allies each deal an extra 1d4 Radiant damage when hitting with a weapon or an Unarmed Strike.",
Daylight,PHB'24,260,3rd,Action,1 hour,Evocation,60 feet,"V, S","Cleric (PHB'24), Druid (PHB'24), Paladin (PHB'24), Ranger (PHB'24), Sorcerer (PHB'24)",,"Celestial (PHB'24) Warlock, Land (Grassland) (PHB'14) Druid, Lore (PHB'24) Bard, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Light (PHB'24) Cleric, Light (PHB'14) Cleric, Celestial (XGE) Warlock","For the duration, sunlight spreads from a point within range and fills a 60-foot-radius Sphere. The sunlight's area is Bright Light and sheds Dim Light for an additional 60 feet.Alternatively, you cast the spell on an object that isn't being worn or carried, causing the sunlight to fill a 60-foot Emanation originating from that object. Covering that object with something opaque, such as a bowl or helm, blocks the sunlight.If any of this spell's area overlaps with an area of Darkness created by a spell of level 3 or lower, that other spell is dispelled.",
Dispel Magic,PHB'24,264,3rd,Action,Instantaneous,Abjuration,120 feet,"V, S","Artificer (TCE), Bard (PHB'24), Cleric (PHB'24), Druid (PHB'24), Paladin (PHB'24), Ranger (PHB'24), Sorcerer (PHB'24), Warlock (PHB'24), Wizard (PHB'24)",,"Abjurer (PHB'24) Wizard, Arcana (SCAG) Cleric, Arcana (SCAG) Cleric, Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Clockwork (PHB'24) Sorcerer, Clockwork Soul (TCE) Sorcerer, Lore (PHB'24) Bard, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Fey Wanderer (TCE) Ranger, Lunar (DSotDQ) Sorcerer, Lunar (DSotDQ) Sorcerer, Devotion (PHB'24) Paladin, Devotion (PHB'14) Paladin, Trickery (PHB'14) Cleric","Choose one creature, object, or magical effect within range. Any ongoing spell of level 3 or lower on the target ends. For each ongoing spell of level 4 or higher on the target, make an ability check using your spellcasting ability (DC 10 plus that spell's level). On a successful check, the spell ends.",Using a Higher-Level Spell Slot. You automatically end a spell on the target if the spell's level is equal to or less than the level of the spell slot you use.
Enemies Abound,XGE,155,3rd,Action,"Concentration, up to 1 minute",Enchantment,120 feet,"V, S",,"Bard (PHB'14), Bard (PHB'24), Sorcerer (PHB'14), Sorcerer (PHB'24), Warlock (PHB'14), Warlock (PHB'24), Wizard (PHB'14), Wizard (PHB'24)","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter","You reach into the mind of one creature you can see and force it to make an Intelligence saving throw. A creature automatically succeeds if it is immune to being frightened. On a failed save, the target loses the ability to distinguish friend from foe, regarding all creatures it can see as enemies until the spell ends. Each time the target takes damage, it can repeat the saving throw, ending the effect on itself on a success.Whenever the affected creature chooses another creature as a target, it must choose the target at random from among the creatures it can see within range of the attack, spell, or other ability it's using. If an enemy provokes an opportunity attack from the affected creature, the creature must make that attack if it is able to.",
Erupting Earth,XGE,155,3rd,Action,Instantaneous,Transmutation,120 feet,"V, S, M (a piece of obsidian)",,"Druid (PHB'14), Druid (PHB'24), Sorcerer (PHB'14), Sorcerer (PHB'24), Wizard (PHB'14), Wizard (PHB'24)","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter","Choose a point you can see on the ground within range. A fountain of churned earth and stone erupts in a 20-foot cube centered on that point. Each creature in that area must make a Dexterity saving throw. A creature takes 3d12 bludgeoning damage on a failed save, or half as much damage on a successful one. Additionally, the ground in that area becomes difficult terrain until cleared. Each 5-foot-square portion of the area requires at least 1 minute to clear by hand.","At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the damage increases by 1d12 for each slot level above 3rd."
Fear,PHB'24,271,3rd,Action,"Concentration, up to 1 minute",Illusion,Self,"V, S, M (a white feather)","Bard (PHB'24), Sorcerer (PHB'24), Warlock (PHB'24), Wizard (PHB'24)",,"Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Draconic (PHB'24) Sorcerer, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Gloom Stalker (PHB'24) Ranger, Gloom Stalker (XGE) Ranger, Illusionist (PHB'24) Wizard, Conquest (XGE) Paladin, Conquest (XGE) Paladin","Each creature in a 30-foot Cone must succeed on a Wisdom saving throw or drop whatever it is holding and have the Frightened condition for the duration.A Frightened creature takes the Dash action and moves away from you by the safest route on each of its turns unless there is nowhere to move. If the creature ends its turn in a space where it doesn't have line of sight to you, the creature makes a Wisdom saving throw. On a successful save, the spell ends on that creature.",
Feign Death,PHB'24,271,3rd,Action,1 hour,Necromancy (ritual),Touch,"V, S, M (a pinch of graveyard dirt)","Bard (PHB'24), Cleric (PHB'24), Druid (PHB'24), Wizard (PHB'24)",,"Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Undying (SCAG) Warlock, Undying (SCAG) Warlock","You touch a willing creature and put it into a cataleptic state that is indistinguishable from death.For the duration, the target appears dead to outward inspection and to spells used to determine the target's status. The target has the Blinded and Incapacitated conditions, and its Speed is 0.The target also has Resistance to all damage except Psychic damage, and it has Immunity to the Poisoned condition.",
Fireball,PHB'24,274,3rd,Action,Instantaneous,Evocation,150 feet,"V, S, M (a ball of bat guano and sulfur)","Sorcerer (PHB'24), Wizard (PHB'24)",,"Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Artillerist (TCE) Artificer, Land (Arid Land) (PHB'24) Druid, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Evoker (PHB'24) Wizard, Fiend (PHB'24) Warlock, Light (PHB'24) Cleric, Light (PHB'14) Cleric, Fiend (PHB'14) Warlock, Genie (Efreeti) (TCE) Warlock, Genie (Efreeti) (TCE) Warlock, Zeal (PSA) (PSA) Cleric, Zeal (PSA) (PSA) Cleric","A bright streak flashes from you to a point you choose within range and then blossoms with a low roar into a fiery explosion. Each creature in a 20-foot-radius Sphere centered on that point makes a Dexterity saving throw, taking 8d6 Fire damage on a failed save or half as much damage on a successful one.Flammable objects in the area that aren't being worn or carried start burning.",Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 3.
Flame Arrows,XGE,156,3rd,Action,"Concentration, up to 1 hour",Transmutation,Touch,"V, S",,"Artificer (TCE), Druid (PHB'14), Druid (PHB'24), Ranger (PHB'14), Ranger (PHB'24), Sorcerer (PHB'14), Sorcerer (PHB'24), Wizard (PHB'14), Wizard (PHB'24)","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter","You touch a quiver containing arrows or bolts. When a target is hit by a ranged weapon attack using a piece of ammunition drawn from the quiver, the target takes an extra 1d6 fire damage. The spell's magic ends on a piece of ammunition when it hits or misses, and the spell ends when twelve pieces of ammunition have been drawn from the quiver.","At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the number of pieces of ammunition you can affect with this spell increases by two for each slot level above 3rd."
Fly,PHB'24,276,3rd,Action,"Concentration, up to 10 minutes",Transmutation,Touch,"V, S, M (a feather)","Artificer (TCE), Sorcerer (PHB'24), Warlock (PHB'24), Wizard (PHB'24)",,"Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Draconic (PHB'24) Sorcerer, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter","You touch a willing creature. For the duration, the target gains a Fly Speed of 60 feet and can hover. When the spell ends, the target falls if it is still aloft unless it can stop the fall.",Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 3.
Gaseous Form,PHB'24,277,3rd,Action,"Concentration, up to 1 hour",Transmutation,Touch,"V, S, M (a bit of gauze)","Sorcerer (PHB'24), Warlock (PHB'24), Wizard (PHB'24)",,"Alchemist (TCE) Artificer, Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Spores (TCE) Druid, Spores (TCE) Druid, Land (Underdark) (PHB'14) Druid, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Swarmkeeper (TCE) Ranger, Swarmkeeper (TCE) Ranger","A willing creature you touch shape-shifts, along with everything it's wearing and carrying, into a misty cloud for the duration. The spell ends on the target if it drops to 0 Hit Points or if it takes a Magic action to end the spell on itself.While in this form, the target's only method of movement is a Fly Speed of 10 feet, and it can hover. The target can enter and occupy the space of another creature. The target has Resistance to Bludgeoning, Piercing, and Slashing damage; it has Immunity to the Prone condition; and it has Advantage on Strength, Dexterity, and Constitution saving throws. The target can pass through narrow openings, but it treats liquids as though they were solid surfaces.The target can't talk or manipulate objects, and any objects it was carrying or holding can't be dropped, used, or otherwise interacted with. Finally, the target can't attack or cast spells.",Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 3.
Haste,PHB'24,284,3rd,Action,"Concentration, up to 1 minute",Transmutation,30 feet,"V, S, M (a shaving of licorice root)","Artificer (TCE), Sorcerer (PHB'24), Wizard (PHB'24)",,"Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Blood (TDCSR) Cleric, Blood (TDCSR) Cleric, Land (Grassland) (PHB'14) Druid, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Horizon Walker (XGE) Ranger, Horizon Walker (XGE) Ranger, Glory (PHB'24) Paladin, Glory (TCE) Paladin, Vengeance (PHB'24) Paladin, Vengeance (PHB'14) Paladin, Strength (PSA) (PSA) Cleric, Strength (PSA) (PSA) Cleric, Zeal (PSA) (PSA) Cleric, Zeal (PSA) (PSA) Cleric","Choose a willing creature that you can see within range. Until the spell ends, the target's Speed is doubled, it gains a +2 bonus to Armor Class, it has Advantage on Dexterity saving throws, and it gains an additional action on each of its turns. That action can be used to take only the Attack (one attack only), Dash, Disengage, Hide, or Utilize action.When the spell ends, the target is Incapacitated and has a Speed of 0 until the end of its next turn, as a wave of lethargy washes over it.",
Hunger of Hadar,PHB'24,286,3rd,Action,"Concentration, up to 1 minute",Conjuration,150 feet,"V, S, M (a pickled tentacle)",Warlock (PHB'24),,"Aberrant Mind (TCE) Sorcerer, Aberrant (PHB'24) Sorcerer, Great Old One (PHB'24) Warlock","You open a gateway to the Far Realm, a region infested with unspeakable horrors. A 20-foot-radius Sphere of Darkness appears, centered on a point with range and lasting for the duration. The Sphere is Difficult Terrain, and it is filled with strange whispers and slurping noises, which can be heard up to 30 feet away. No light, magical or otherwise, can illuminate the area, and creatures fully within it have the Blinded condition.Any creature that starts its turn in the area takes 2d6 Cold damage. Any creature that ends its turn there must succeed on a Dexterity saving throw or take 2d6 Acid damage from otherworldly tentacles.",Using a Higher-Level Spell Slot. The Cold or Acid damage (your choice) increases by 1d6 for each spell slot level above 3.
Hypnotic Pattern,PHB'24,287,3rd,Action,"Concentration, up to 1 minute",Illusion,120 feet,"S, M (a pinch of confetti)","Bard (PHB'24), Sorcerer (PHB'24), Warlock (PHB'24), Wizard (PHB'24)",,"Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Armorer (TCE) Artificer, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Illusionist (PHB'24) Wizard, Moon (TDCSR) Cleric, Moon (TDCSR) Cleric, Redemption (XGE) Paladin, Redemption (XGE) Paladin, Trickery (PHB'24) Cleric","You create a twisting pattern of colors in a 30-foot Cube within range. The pattern appears for a moment and vanishes. Each creature in the area who can see the pattern must succeed on a Wisdom saving throw or have the Charmed condition for the duration. While Charmed, the creature has the Incapacitated condition and a Speed of 0.The spell ends for an affected creature if it takes any damage or if someone else uses an action to shake the creature out of its stupor.",
Incite Greed,AI,76,3rd,Action,"Concentration, up to 1 minute",Enchantment,30 feet,"V, S, M (a gem worth at least 50 gp)","Cleric (PHB'14), Cleric (PHB'24), Warlock (PHB'14), Warlock (PHB'24), Wizard (PHB'14), Wizard (PHB'24)",,"Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter","When you cast this spell, you present the gem used as the material component and choose any number of creatures within range that can see you. Each target must succeed on a Wisdom saving throw or be charmed by you until the spell ends, or until you or your companions do anything harmful to it. While charmed in this way, a creature can do nothing but use its movement to approach you in a safe manner. While an affected creature is within 5 feet of you, it cannot move, but simply stares greedily at the gem you present.At the end of each of its turns, an affected target can make a Wisdom saving throw. If it succeeds, this effect ends for that target.",
Life Transference,XGE,160,3rd,Action,Instantaneous,Necromancy,30 feet,"V, S",,"Cleric (PHB'14), Cleric (PHB'24), Wizard (PHB'14), Wizard (PHB'24)","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter","You sacrifice some of your health to mend another creature's injuries. You take 4d8 necrotic damage, which can't be reduced in any way, and one creature of your choice that you can see within range regains a number of hit points equal to twice the necrotic damage you take.","At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the damage increases by 1d8 for each slot level above 3rd."
Lightning Arrow,PHB'24,292,3rd,Bonus,Instantaneous,Transmutation,Self,"V, S",Ranger (PHB'24),,,"As your attack hits or misses the target, the weapon or ammunition you're using transforms into a lightning bolt. Instead of taking any damage or other effects from the attack, the target takes 4d8 Lightning damage on a hit or half as much damage on a miss. Each creature within 10 feet of the target then makes a Dexterity saving throw, taking 2d8 Lightning damage on a failed save or half as much damage on a successful one.The weapon or ammunition then returns to its normal form.",Using a Higher-Level Spell Slot. The damage for both effects of the spell increases by 1d8 for each spell slot level above 3.
